iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,,,,
IRL,Ireland,4994274.00,"4,937,786","70,273 sq_km",71/sq_km,0.91,0.06%,124,,,,0.01
CAF,Central African Republic,4943002.00,"4,829,767","622,984 sq_km",8/sq_km,1.87,0.06%,125,,,,0.02
NZL,New Zealand,4870864.00,"4,822,233","270,467 sq_km",18/sq_km,0.8,0.06%,126,,,,0.01
MRT,Mauritania,4807788.00,"4,649,658","1,030,700 sq_km",5/sq_km,2.7,0.06%,127,,,,0.03
PAN,Panama,4398869.00,"4,314,767","75,417 sq_km",58/sq_km,1.55,0.06%,128,,,,0.02
KWT,Kuwait,4345458.00,"4,270,571","17,818 sq_km",243/sq_km,1.36,0.05%,129,,,,0.01
HRV,Croatia,4075442.00,"4,105,267","56,594 sq_km",72/sq_km,-0.58,0.05%,130,,,,-0.01
MDA,Moldova,4021344.00,"4,033,963","33,846 sq_km",119/sq_km,-0.25,0.05%,131,,,,0.00
GEO,Georgia,3977186.00,"3,989,167","69,700 sq_km",57/sq_km,-0.24,0.05%,132,,,,0.00
ERI,Eritrea,3615795.00,"3,546,421","117,600 sq_km",31/sq_km,1.55,0.05%,133,,,,0.02
URY,Uruguay,3488112.00,"3,473,730","181,034 sq_km",19/sq_km,0.33,0.04%,134,,,,0.00
MNG,Mongolia,3342567.00,"3,278,290","1,564,110 sq_km",2/sq_km,1.56,0.04%,135,,,,0.02
BIH,Bosnia And Herzegovina,3258212.00,"3,280,819","51,209 sq_km",64/sq_km,-0.53,0.04%,136,,,,-0.01
JAM,Jamaica,2976615.00,"2,961,167","10,991 sq_km",271/sq_km,0.42,0.04%,137,,,,0.00
ARM,Armenia,2969369.00,"2,963,243","29,743 sq_km",100/sq_km,0.16,0.04%,138,,,,0.00
QAT,Qatar,2944665.00,"2,881,053","11,586 sq_km",253/sq_km,1.72,0.04%,139,,,,0.02
ALB,Albania,2871500.00,"2,877,797","28,748 sq_km",100/sq_km,-0.17,0.04%,140,,,,0.00
PRI,Puerto Rico,2818798.00,"2,860,853","8,870 sq_km",319/sq_km,-1.14,0.04%,141,,,,-0.01
LTU,Lithuania,2681360.00,"2,722,289","65,300 sq_km",41/sq_km,-1.19,0.03%,142,,,,-0.01
NAM,Namibia,2599380.00,"2,540,905","825,615 sq_km",3/sq_km,1.83,0.03%,143,,,,0.02
GMB,Gambia,2505285.00,"2,416,668","10,689 sq_km",233/sq_km,2.91,0.03%,144,,,,0.03
BWA,Botswana,2408895.00,"2,351,627","582,000 sq_km",4/sq_km,1.94,0.03%,145,,,,0.02
GAB,Gabon,2292867.00,"2,225,734","267,668 sq_km",9/sq_km,2.39,0.03%,146,,,,0.02
LSO,Lesotho,2163569.00,"2,142,249","30,355 sq_km",71/sq_km,0.79,0.03%,147,,,,0.01
MKD,North Macedonia,2082371.00,"2,083,374","25,713 sq_km",81/sq_km,-0.03,0.03%,148,,,,0.00
SVN,Slovenia,2078724.00,"2,078,938","20,273 sq_km",103/sq_km,-0.01,0.03%,149,,,,0.00
GNB,Guinea Bissau,2027912.00,"1,968,001","36,125 sq_km",56/sq_km,2.41,0.03%,150,,,,0.02
LVA,Latvia,1861975.00,"1,886,198","64,559 sq_km",29/sq_km,-1.02,0.02%,151,,,,-0.01
BHR,Bahrain,1760332.00,"1,701,575",765 sq_km,"2,285/sq_km",2.75,0.02%,152,,,,0.03
GNQ,Equatorial Guinea,1462123.00,"1,402,985","28,051 sq_km",52/sq_km,3.34,0.02%,153,,,,0.03
TTO,Trinidad And Tobago,1404426.00,"1,399,488","5,130 sq_km",274/sq_km,0.28,0.02%,154,,,,0.00
TLS,Timor Leste,1350464.00,"1,318,445","14,874 sq_km",90/sq_km,1.93,0.02%,155,,,,0.02
EST,Estonia,1324803.00,"1,326,535","45,227 sq_km",29/sq_km,-0.1,0.02%,156,,,,0.00
MUS,Mauritius,1273815.00,"1,271,768","2,040 sq_km",624/sq_km,0.13,0.02%,157,,,,0.00
CYP,Cyprus,1217781.00,"1,207,359","9,251 sq_km",131/sq_km,0.68,0.02%,158,,,,0.01
DJI,Djibouti,1005817.00,"988,000","23,200 sq_km",43/sq_km,1.44,0.01%,160,,,,0.01
FJI,Fiji,904530.00,"896,445","18,272 sq_km",49/sq_km,0.72,0.01%,161,,,,0.01
RU,Reunion,903310.00,"895,312","2,511 sq_km",359/sq_km,0.71,0.01%,162,,,,0.01
COM,Comoros,893418.00,"869,601","1,862 sq_km",477/sq_km,2.17,0.01%,163,,,,0.02
GUY,Guyana,791281.00,"786,552","214,969 sq_km",4/sq_km,0.48,0.01%,164,,,,0.00
BTN,Bhutan,782095.00,"771,608","38,394 sq_km",20/sq_km,1.07,0.01%,165,,,,0.01
SLB,Solomon Islands,708486.00,"686,884","28,896 sq_km",24/sq_km,2.49,0.01%,166,,,,0.02
MAC,Macau,660878.00,"649,335",30 sq_km,"21,946/sq_km",1.4,0.01%,167,,,,0.01
LUX,Luxembourg,637202.00,"625,978","2,586 sq_km",245/sq_km,1.41,0.01%,168,,,,0.01
MNE,Montenegro,628053.00,"628,066","13,812 sq_km",45/sq_km,0,0.01%,169,,,,0.00
ESH,Western Sahara,615600.00,"597,339","266,000 sq_km",2/sq_km,2.43,0.01%,170,,,,0.02
SUR,Suriname,593137.00,"586,632","163,820 sq_km",4/sq_km,0.88,0.01%,171,,,,0.01
CPV,Cape Verde,563426.00,"555,987","4,033 sq_km",139/sq_km,1.06,0.01%,172,,,,0.01
MDV,Maldives,544763.00,"540,544",300 sq_km,"1,812/sq_km",0.57,0.01%,173,,,,0.01
MLT,Malta,443166.00,"441,543",316 sq_km,"1,401/sq_km",0.28,0.01%,174,,,,0.00
BRN,Brunei,442583.00,"437,479","5,765 sq_km",77/sq_km,0.93,0.01%,175,,,,0.01
BLZ,Belize,406824.00,"397,628","22,966 sq_km",18/sq_km,1.83,0.01%,176,,,,0.02
