iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,Continent,,,
HKG,Kyrgyzstan,6655389,"6,524,195","199,951 sq_km",33/sq_km,1.6,0.08%,111,Asia,,,0.02
LAO,Laos,7406200,"7,275,560","236,800 sq_km",31/sq_km,1.43,0.09%,105,Asia,,,0.01
PRY,Latvia,1861975,"1,886,198","64,559 sq_km",29/sq_km,-1.02,0.02%,151,Europe,,,-0.01
LBY,Lebanon,6761886,"6,825,445","10,452 sq_km",648/sq_km,-0.82,0.09%,109,Asia,,,-0.01
BGR,Lesotho,2163569,"2,142,249","30,355 sq_km",71/sq_km,0.79,0.03%,147,Africa,,,0.01
LBN,Liberia,5212394,"5,057,681","111,369 sq_km",47/sq_km,2.42,0.07%,122,Africa,,,0.02
NIC,Libya,6980407,"6,871,292","1,759,540 sq_km",4/sq_km,1.27,0.09%,107,,,,0.01
KGZ,Liechtenstein,38250,"38,128",160 sq_km,239/sq_km,0.32,0.00%,216,,,,0
SLV,Lithuania,2681360,"2,722,289","65,300 sq_km",41/sq_km,-1.19,0.03%,142,,,,-0.01
TKM,Luxembourg,637202,"625,978","2,586 sq_km",245/sq_km,1.41,0.01%,168,Europe,,,0.01
SGP,Macau,660878,"649,335",30 sq_km,"21,946/sq_km",1.4,0.01%,167,,,,0.01
DNK,Madagascar,28619520,"27,691,018","587,041 sq_km",48/sq_km,2.66,0.36%,51,Africa,,,0.03
COG,Malawi,19783135,"19,129,952","118,484 sq_km",166/sq_km,2.71,0.25%,61,Africa,,,0.03
FIN,Malaysia,32882224,"32,365,999","330,803 sq_km",99/sq_km,1.27,0.42%,45,Asia,,,0.01
NOR,Maldives,544763,"540,544",300 sq_km,"1,812/sq_km",0.57,0.01%,173,Asia,,,0.01
SVK,Mali,21013825,"20,250,833","1,240,192 sq_km",17/sq_km,2.99,0.26%,60,Africa,,,0.03
OMN,Malta,443166,"441,543",316 sq_km,"1,401/sq_km",0.28,0.01%,174,Europe,,,0
PSE,Marshall Islands,59610,"59,190",181 sq_km,329/sq_km,0.71,0.00%,206,,,,0.01
LBR,Martinique,374554,"375,265","1,128 sq_km",332/sq_km,-0.14,0.00%,179,,,,0
CRI,Mauritania,4807788,"4,649,658","1,030,700 sq_km",5/sq_km,2.7,0.06%,127,Africa,,,0.03
IRL,Mauritius,1273815,"1,271,768","2,040 sq_km",624/sq_km,0.13,0.02%,157,Africa,,,0
CAF,Mayotte,281234,"272,815",374 sq_km,747/sq_km,2.46,0.00%,186,,,,0.02
NZL,Mexico,130609633,"128,932,753","1,964,375 sq_km",66/sq_km,1.03,1.65%,10,North America,,,0.01
MRT,Micronesia,116541,"115,023",702 sq_km,166/sq_km,1.07,0.00%,193,,,,0.01
PAN,Moldova,4021344,"4,033,963","33,846 sq_km",119/sq_km,-0.25,0.05%,131,Europe,,,0
KWT,Monaco,39511,"39,242",2 sq_km,"19,756/sq_km",0.69,0.00%,213,Europe,,,0.01
HRV,Mongolia,3342567,"3,278,290","1,564,110 sq_km",2/sq_km,1.56,0.04%,135,Asia,,,0.02
MDA,Montenegro,628053,"628,066","13,812 sq_km",45/sq_km,0,0.01%,169,Europe,,,0
GEO,Montserrat,4977,"4,992",102 sq_km,49/sq_km,-0.3,0.00%,228,,,,0
ERI,Morocco,37457703,"36,910,560","446,550 sq_km",84/sq_km,1.18,0.47%,40,Africa,,,0.01
URY,Mozambique,32399562,"31,255,435","801,590 sq_km",40/sq_km,2.9,0.41%,46,Africa,,,0.03
MNG,Myanmar,54908699,"54,409,800","676,578 sq_km",81/sq_km,0.73,0.70%,27,Asia,,,0.01
BIH,Namibia,2599380,"2,540,905","825,615 sq_km",3/sq_km,1.83,0.03%,143,Africa,,,0.02
JAM,Nauru,10876,"10,824",21 sq_km,518/sq_km,0.48,0.00%,225,,,,0
ARM,Nepal,29801583,"29,136,808","147,181 sq_km",202/sq_km,1.85,0.38%,49,Asia,,,0.02
QAT,Netherlands,17182938,"17,134,872","41,850 sq_km",410/sq_km,0.22,0.22%,70,Europe,,,0
ALB,New Caledonia,288887,"285,498","18,575 sq_km",16/sq_km,0.95,0.00%,183,,,,0.01
PRI,New Zealand,4870864,"4,822,233","270,467 sq_km",18/sq_km,0.8,0.06%,126,Oceania,,,0.01
LTU,Nicaragua,6722827,"6,624,554","130,373 sq_km",51/sq_km,1.17,0.09%,110,North America,,,0.01
NAM,Niger,25373254,"24,206,644","1,267,000 sq_km",20/sq_km,3.82,0.32%,56,Africa,,,0.04
GMB,Nigeria,212777766,"206,139,589","923,768 sq_km",229/sq_km,2.55,2.68%,7,Africa,,,0.03
BWA,Niue,1619,"1,626",260 sq_km,6/sq_km,-0.43,0.00%,230,,,,0
GAB,North Korea,25915029,"25,778,816","120,538 sq_km",215/sq_km,0.42,0.33%,54,,,,0
LSO,North Macedonia,2082371,"2,083,374","25,713 sq_km",81/sq_km,-0.03,0.03%,148,Europe,,,0
MKD,Northern Mariana Islands,57917,"57,559",464 sq_km,125/sq_km,0.62,0.00%,207,,,,0.01
SVN,Norway,5477570,"5,421,241","323,802 sq_km",17/sq_km,0.82,0.07%,118,Europe,,,0.01
GNB,Oman,5255566,"5,106,626","309,500 sq_km",17/sq_km,2.29,0.07%,120,Asia,,,0.02
LVA,Pakistan,226318988,"220,892,340","881,912 sq_km",255/sq_km,1.95,2.86%,5,Asia,,,0.02
BHR,Palau,18169,"18,094",459 sq_km,40/sq_km,0.41,0.00%,220,,,,0
GNQ,Palestine,5254080,"5,101,414","6,220 sq_km",840/sq_km,2.38,0.07%,121,,,,0.02
TTO,Panama,4398869,"4,314,767","75,417 sq_km",58/sq_km,1.55,0.06%,128,North America,,,0.02
TLS,Papua New Guinea,9163906,"8,947,024","462,840 sq_km",20/sq_km,1.92,0.12%,97,Oceania,,,0.02
EST,Paraguay,7242277,"7,132,538","406,752 sq_km",18/sq_km,1.22,0.09%,106,South America,,,0.01
MUS,Peru,33460290,"32,971,854","1,285,216 sq_km",26/sq_km,1.18,0.42%,44,South America,,,0.01
CYP,Philippines,111430820,"109,581,078","342,353 sq_km",324/sq_km,1.34,1.41%,13,Asia,,,0.01
DJI,Poland,37782581,"37,846,611","312,679 sq_km",121/sq_km,-0.13,0.48%,39,Europe,,,0
FJI,Portugal,10160092,"10,196,709","92,090 sq_km",110/sq_km,-0.28,0.13%,90,Europe,,,0
RU,Puerto Rico,2818798,"2,860,853","8,870 sq_km",319/sq_km,-1.14,0.04%,141,,,,-0.01
COM,Qatar,2944665,"2,881,053","11,586 sq_km",253/sq_km,1.72,0.04%,139,Asia,,,0.02
GUY,Republic Of The Congo,5693312,"5,518,087","342,000 sq_km",17/sq_km,2.52,0.07%,116,Africa,,,0.03
BTN,Reunion,903310,"895,312","2,511 sq_km",359/sq_km,0.71,0.01%,162,,,,0.01
SLB,Romania,19098735,"19,237,691","238,391 sq_km",80/sq_km,-0.57,0.24%,63,Europe,,,-0.01
MAC,Russia,145906676,"145,934,462","17,098,242 sq_km",9/sq_km,-0.02,1.85%,9,Europe,,,0
LUX,Rwanda,13360573,"12,952,218","26,338 sq_km",504/sq_km,2.5,0.17%,76,Africa,,,0.03
MNE,Saint Barthelemy,9907,"9,877",21 sq_km,472/sq_km,0.3,0.00%,226,North America,,,0
ESH,Saint Kitts And Nevis,53544,"53,199",261 sq_km,205/sq_km,0.65,0.00%,210,North America,,,0.01
SUR,Saint Lucia,184591,"183,627",616 sq_km,299/sq_km,0.42,0.00%,189,North America,,,0
CPV,Saint Martin,39234,"38,666",53 sq_km,740/sq_km,1.47,0.00%,214,North America,,,0.01
MDV,Saint Pierre And Miquelon,5766,"5,794",242 sq_km,24/sq_km,-0.48,0.00%,227,North America,,,0
MLT,Saint Vincent And The Grenadines,111263,"110,940",389 sq_km,286/sq_km,0.29,0.00%,195,North America,,,0
BRN,Samoa,200531,"198,414","2,842 sq_km",70/sq_km,0.87,0.00%,188,,,,0.01
BLZ,San Marino,34017,"33,931",61 sq_km,558/sq_km,0.25,0.00%,217,Europe,,,0
BHS,Sao Tome And Principe,224514,"219,159",964 sq_km,232/sq_km,1.92,0.00%,187,Africa,,,0.02
MTQ,Saudi Arabia,35481866,"34,813,871","2,149,690 sq_km",16/sq_km,1.51,0.45%,41,Asia,,,0.02
ISL,Senegal,17314367,"16,743,927","196,722 sq_km",87/sq_km,2.7,0.22%,69,Africa,,,0.03
VUT,Serbia,8687329,"8,737,371","88,361 sq_km",98/sq_km,-0.46,0.11%,101,Europe,,,0
NCL,Seychelles,99004,"98,347",452 sq_km,219/sq_km,0.57,0.00%,199,Africa,,,0.01
BRB,Sierra Leone,8184233,"7,976,983","71,740 sq_km",113/sq_km,2.06,0.10%,103,Africa,,,0.02
PYF,Singapore,5909295,"5,850,342",710 sq_km,"8,305/sq_km",0.79,0.07%,114,Asia,,,0.01
